user_location,user_name
"sittin PRETTY w|OUT YOU","imDESTYNEbiitch"
"N 41°6  0   / E 28°59  0","mertevgin"
"","BillionWifey"
"ÜT:  6.29553,106.756887","LarasatiDahnial"
"","anndressalima"
"","MissMonicaWiley"
"","jamieeemary"
"dihatimu sayaaang :p","galuhcandraS"
"giving free hugs(:","TAlvord101"
"","rachelwordds"
"","AEMTcalabro"
"","mizzmarilyn"
"","missabdulghani"
"ÜT:  6.131528,106.85359","eugeniaverina"
"di dunia, menuju akhirat","andinitaaNH"
"Russia|Fire Nation","HelenTeamTLA"
"","faraahputri"
"Why re u lookn 4 me","Sulamania"
"","gamteuk"
"","atiqurrahman"
"","dphif"
"#MELBOURNEBELIEBER","viollettaaa"
"ÜT:  6.815625,107.622376","nisanduut"
"","tatkls"
"","abookwormblog"
"","shinigamittsu"
"","belletidy"
"","katieandrews"
"","Jnta68"
"","MsKieraP"
"Lost n Ma Thghts","OnCloud734"
"Every girl s mind (Nomad)","DeionHawk"
"","esoclectica"
"sehnfiveee,","biqSC00p"
"","LookItsTrain"
"with dan kanter.","iBeliebInPayne"
"","thampaula"
"Still relocating","mikesopm"
"http://OovoO :REakky Da Mack","REaKky1800"
"","moncoxm94"
"Heaven ( will be )","oyaaa"
"ciera house","ImThatNigga"
"","ahhmayzinGlynn"
"  &","ShapphireMin"
"behind you.","reenaynay"
"","meldeenp"
"","setthatonfire"
"","imkeosha"
"","nurastrinisjam"
"KICKIN IT WIT SCUBA STEVE","DaObnoxious1"
"An Alternate Reality","IrrASHional1"
"Anywhere Help Is Needed","penelopepup"
"","misakitty34"
"","vickytashw"
"","iamjesters"
"Ireland Babyyyyy","ClaireWLFilan"
"Sonic Dress Up Party","JenJamn"
"ÜT:  6.304576,106.930437","zakyzimah"
"","BarzeyNW"
"Right Where I Need To Be","DamoneWilliams"
" ...on a private jet ...","Tristan2289"
"","only1chaka"
"","FreeToProsper"
"ÜT: 8.265271, 62.7501","EnyPaez"
"Nowhere In Particuar","MaryBoBerri"
"","andylbowman"
"","KissMyCake428"
"","matthewbardsley"
"","Shridonoda"
"JYP Nation","jeffrinee"
"Alkebulan~Ghana~Tema","HumbleDix"
"","otisgun"
"Holding the throne down","BFRANKDAKING"
"somewhere on earth","AntonyHendra"
"","missBhaven314"
"ATLshawty","tasteemytweet"
"21/4/11 w/Zachary Efrcn","MileyRayCx"
"","beejaydoubleu"
"100miles from normal.","JillianIRamsay"
"","LARRYMORROW"
"","fabsciack"
"","KatrinaSchaefer"
"","BigO1019fm"
"","AntonellaWreck"
"","JenSainty"
"Piggfarts. That s on Mars!","RumbleRaawr"
"","DeannaDeangelo"
"","LaowPing"
"On ur TL","hardaykunlE6"
"","iProsperTiaMia"
"Secret place of the most High.","9Berkel7"
"dont worry about it ;)","veeksta"
"TRINALANA","shaydgaf"
"","GradeAADAIR"
"","BaptizeMyEyes"
"Hell... if I know","iShakeBabies"
"","inerreality"
"Da Motherland","ibeinDAcut"
"","jdbranno"
"UMDcp/ Eritrea","jockinjoji"
"","NakedInTokyo"
"","ChrisArrCooper"
"","nicoo7t"
"  Verified Krisbian","RupertJensenKSW"
"ÜT:  6.117899,106.911132","firahnyaoki"
"Essex, 3Shank County","BanditBlacks"
"","philadelpcrime"
"is Noming ur Leg. [RP]","MalibuRAWRZ"
"(Ode of Solitude ) D.C. NW","GenetycEDGE"
"","99Michelle"
"In yo ass!","MyTMouse76"
"unclecleo@att.net","unclecleo"
"where visa is accepted","corgunna860"
"ATL+++H*Town","PrettyLadiiBri"
"your imagination","biscuittmfs"
"","texasdago"
"","iamguyi"
"","LushLuv"
"","ashturil"
"Where You Wanna Be..","ChelsieSIMMONE"
"Your bed.","yelyaHWelch"
"Safety of my own thoughts.","SloopJohnB"
"","GaryTuchmanCNN"
"","kbenweg"
"","HPRocksDenden"
"","garpetpeaa"
"","DarthLionel"
"Nac Nasty","exaltedone27"
"","TomWelland"
"","chukudee"
"ÜT:  6.216126,106.710716","keziaamelia"
"","travistilly"
"Nathan s Dreams (;","BethMcSykesTW"
"Your Moms Bed Room !","KushLuvsJordans"
"ÜT: 10.481812, 66.88145","julioc7"
"     nowere s land","Pennyac"
"","SARAngKIM"
"","CarInformation"
"Unicorn pussy","ShaunaSayomi"
"Where you wanna be","brekaPooh"
"Por ahi...","4mich"
". . .","lovePINKandLEXI"
"","MauricioBMX"
"","CharlotteGiver"
"","BIGVonDon"
"SHIT!! ..Im lost again","JordanLeee"
"Below the rim N.CALI","MattySatchwe11"
"Dimanaya","REVAOCTAVIA"
"","doocucom"
"Right behind you","xXTheDarkWolfXx"
"","DavidTruter"
"","musuraki"
"","SuhManthuhh12"
" 33.869160,151.093704","paulwiggins"
"","STCIus"
"","saintrevenge"
"","iCynthia"
"en route 2 the tippy TOP","HIGHLifeLivin"
"","mobiletrendsinf"
"","kaeriey"
"Under your Bed","KirsGinLeo"
"","MelissaLinton"
"In a kingdom far far away!","basoom8"
"","FLOWERXXIII"
"","PusherBeats"
"","kuschantal"
"SHINee World","xonlyhalfmad"
"focus on where Im goin..","dreddynuhEZ"
"Lake of Tranquillity Lane","missbeejoseph"
"ÜT:  7.429138,109.246036","haiRinasthy"
"","carolyynes"
"","thegrundl"
"","DudeLife"
"TCU Kitchen","TopChefU"
"Dreaminggg in Parisss!","LuxeriousLaya"
"","jeremyperez37"
"","saharnabila"
"","mapmusicru"
"Lachowski s bed","genevieveleong"
"","zackiealexio"
"ÜT:  6.2724,106.926256","nadhirafa"
"Her alternate universe.","marlowfocker"
"","RobCave"
"","praewbababa"
"","Telboyuk"
"","flookfirehose"
"","HumbersideFire"
"","courtneylouwe"
"","SarahFreshBaby"
"","hannahnatashaaa"
"","Celebrityzone"
"","kenlipeterson"
"Chatts World","ChattsWorld"
"","msustormchasers"
"","inlovewithdamon"
"Hog calling","nahbEFFthat"
"The Pads, MPC","jinbeast"
"where ever you want .","niceguyzack"
"LSU and Dallasss","HelgaPataki"
"Small Towns & Big Cities.","SirShek"
"wherever the fuck Pete is","PetesAttitude"
"The Likely Estate, Britain","lordlikely"
"Beside you, scared","HEDYLYT"
"","HotTrendInfo"
"","sachetas"
"lurus, pertigaan belok kiri...","athenaaf"
"","beddauninja"
"N 45°21  0   / E 18°59  0","ZJurc"
"Bieberland","xohmybrittx"
"The beach, or the desert","bch2desert"
"","LittleDroz"
"","JDurks2"
"","LARidder"
"","kellyhalpen"
"","Viocchan"
"Bieber Company","bieberswifters"
"CaliFanyia","jellojuseyo"
"","discountchains"
"ÜT:  6.16518,106.898794","3ciaW"
"kyuhyunoppa world :D","nissashishu"
"","Khadafiodido"
"ÜT:  5.397697,105.282911","glgmrdk"
"Mailbox in the Arctic","ZaffiroRubino"
"","EdNimfo"
"ÜT:  6.216634,106.99351","ellmaciigncull"
"ÜT:  6.242341,106.944025","feisalagung"
"ÜT:  6.189629,106.770558","dylanhadi"
"","ilrnews"
"CRAZYLAND, Denmark","Tarkess"
"","aureliavilla"
"Behind you","MrThreeOh5"
"","audinary"
"","Hollymcbain"
"","reallymatter"
"","TimWolfgang"
"Florida.NC.WAfrica.EAfrica","BingaDzim"
"Donde me encuentren.","EdArturo"
"","ajithfbpage"
"Planet Fli","PhenomMari"
"closer to my dreams:)","queenJuJuBEAZ"
"","BenStandig"
"Ayee bitch ass Vee","LeMuffet"
"","anadelacajiga"
"","amyelizabethd"
"","XxDanaDollxX"
"DA COAST BIIATCH","msdimediva101"
"","OEDee"
"","LilyKillsz"
"","AndrewBuncombe"
"","mayakessler"
"","MattSelection"
"o O yes yal im here","WhenNRome"
"ÜT:  6.232801,106.851066","Baqir20"
"","akkroger"
"Everywhere i go","SpaceChinees"
"","greengumbears"
"stalker much !","PeaceLuvNBelieb"
"","abiwild"
"","samuelheard"
"Anusha s bed.","JoshInTheBox"
"","thelilpenguin"
"","Beeezz"
"","NINInotNENE"
"Polo shoppin  at Bloomingdales","FyeScott"
"Realadelphia/Fayettnaam","CEOVOP"
"","THECFORCE"
"","kicksznchickz"
"","FSCaridadH"
"","KillEmKels"
"","rainynilu"
"","SDeLaBelle"
"","BloodisThicker1"
"Every muthaf***in where!!!!","DrV2thaKay"
"far far away in my head","BoubieD"
"","iluvmakingmoney"
"","dannyctkemp"
"","HIGHandYELLOW"
"","alraiders7"
"wwe universe  CeNation","OhCena"
"","bspnowplaying"
"","RmcRenegade"
"","JulesDixon"
"Where I Want To Be","ELFJR1108"
"Wanting Justin Bieber!","IcanBeJustMe"
"","SamanthaSeaholm"
"chillin  with yogii bear.","Ladiii3Z"
"","ssweetn"
"","JRees93"
"","connielawson4"
"Reppin   Serbia yoo.","DaBieberBitch"
"","theocnow"
"","cshoeyy"
"","uraGEOK"
"","jrenmans"
"","flavaswag"
"ÜT:  6.323236,106.801058","Msreeika"
"","xGREENIEEEx"
"San JO & Frisco, LA & D troit","kayscheri"
"Mikey s House","huephuongMCR"
"","hellyeahdayah"
"NMARJA","rannics"
"","MASKURAID"
"","Nadiablues"
"Ur fridge :)","OYONYC"
"","tiff1851"
"","megsxoxo"
"","BoBoulware"
"","engy79"
"Wandering Around East...","HarrisonJ"
"","floraeyo"
"","iSerr"
"","MadisonatShoal"
"","KAJNews"
"","Court2real4TV"
"","TheeGodmotha"
"Springfield, MO....for now","ironman4"
"IM EVERYWHERE U NEVA THERE","JustJosh95"
"","mfgmobile"
"","grumpymacattack"
"","renzyidowu"
"","cindyapadilla"
"","j0rdanmiller"
"Richlington","evaniscool420"
"","Yeahyeahying"
"","mhsbc"
"","VasanRulez"
"","IyeYellSwaggg"
"is never the same","aarondesean"
" 6.21,106.85","ttiiwi"
"In my Jacuzzi","lullabyputri"
"","haidarraiz"
"Planet Mars","93MillionLies"
"Deal of the Day, USA","UltimateDoD"
"on twitter","sambfg"
"in your blood...","9tro"
"","TheHungryTiger"
"","foxnewsus"
"Anywhere the spotlight is!","MustCiTV"
"","FuldenS"
"","LKWarrell"
"Around here and there","Roteame"
"pineapple under the tree","amunoir"
"floopylândia","SuhBelle"
"","francescalexxx"
"Where ever you at","MychalHarris10"
"in line at Chipotle","QuettaLovesMe"
"","EekaMittn"
"ÜT:  32.942775,27.741447","Vejinity"
"","simpaul"
"","CazeyW"
"Where Ever The Money s At","UncleNoor"
"","aukebrand"
"You tell me.","ashleyvblanco"
"","usspotnews"
"Humanoid City","luizachacom"
"","miltbone"
"FAR away from you :)","xspensiveTASTE"
"","LeRoiScholtz"
"","BecksTurner"
"Home Of Anime","ANIWORLDCOM"
"ÜT:  6.629226,106.826729","chokiawh"
"","sophomosprime"
"","khamilaroma10"
"Yamada s pants","bonyyuto"
"","itsmissh"
"","xKatieMatey"
"","testnamexp"
"nowhere and everywhere.","carlycressler"
"","Proud2BeLEO"
"ÜT:  6.278662,107.021661","alifaRP"
"","atkhcherry"
"JAY WALKIN W/ YA GIRL","KickzMYAss"
"ÜT:  8.799194,115.198947","aryamawisesa"
"^ ^W0rld of ZaNeSSa^ ^","VHudFanTweet"
"","PerdyP"
"ÜT:  7.814043,110.382122","anitarevi"
"","wine594"
"","sumbuydee"
"Dark World/Middle Earth","LegendaryTony0"
"","beccasteve"
"A Notch Above The Rest","MKakaBigMo"
"","allizzy9903"
"Six feet under the stars","NeverShoutCT"
"","diinneee"
"","BravesDiva"
"Welcome 2 My World BLVD","TeamSincere"
"","porraline"
"Takin ova da Burgh","DRobTrackKilla"
"#imfromjersey","FuckDaUsername"
"Laying underneath ya queen","Musicphenom"
"swag surfin","ceylandish"
"","ODUCR"
"Vintage Photography Forum","AntiquePhoto"
"","WalkzLoveMoney"
"","benchkvecher"
"","dwiimeyani"
"","Stephaniebee1"
"","ChristineSegaya"
"XIIWLº¹¹ s world","alfaniatrianes"
"","Brex2"
"","SamKimber24"
"ÜT:  6.199927,106.895196","StephAmanda"
"","Rapunzel109"
"","ByeBabyBelly"
"","nicolebieberTW"
"peerrrthh Australiaaaaa","Hermellaaa"
"axe ur mummy","Mizzybukkii"
"Higher Than You","ArimasLavan"
"Wildcat Country FVSU","VerifyDesNuts"
"Dexter s Laboratory.","theDEElish"
"","jordanfasolini"
"Somewhere Sparkinn","cuzTISEsaidSO"
"Mobile2Huntsville&back","snowbunnieXOXO"
"In My Own Little World","AuralPleazure"
"","MrPayPerChase88"
"","sheilashaya"
"city of evil","FuckingCurse"
"ÜT:  6.097868,106.693098","Deviiannaa"
"","MelisendePF"
"ÜT:  6.132001,106.867858","monicayando"
"Planet Earth | South Africa","jsnmrk"
"","CindyySt"
"","FeliciaLinda14"
"","LoriPorcelli"
"","SmarterMrkting"
"","KCBD11"
"","phalliburton"
"","davecladis"
"","DafftyAmy"
"ÜT:  6.242191,106.937969","dulkiri"
"Starting trouble","SmartChick215"
"Outskirts of Ramgarh","GabbbarSingh"
"","wheezyheron"
"","Squirrel4Prez"
"All overr homiieee","JUSTINFAMOUS"
"","CrazyBreakdown"
"Next to the Angels","NewDayRemedies"
"","YaniiSalvay"
"modest hoe","angiimonster"
"","Fatterick"
"","heyleeh"
"Nowhere on Earth","jacinthoriya"
"","ilovejadensmith"
"ÜT:  6.382884,106.930325","galarisave"
"Twitter. Tweeter.  =)","hey00imnikki"
"","JPalmerHoffman"
"","Marcelowanzeler"
"Wherever Hip Hop Lives!","DYMELifeRadio"
"Right above you","mreyez1"
"united states, innit.","alyastronomy"
"hollywatts to sactown","darealdibiase"
"Near Hermit Jim s Shack","GaiaphageCom"
"","Bernardtoo"
"Trapped in my Mind","melssp"
"Neverland with Peter Pan","meghanxoxx"
"","jayechris9500"
"","ColdRockinIt"
"mY World Now!!EARTH!!!!! lol","PURRPLEfab"
"Wherever the pigeons are!","ShazzamGio"
"OutcheaVille , America","JoshToFocused"
"","anisaniCA"
"Somewhere Spending It All","TwoTwentyMe"
"IM NOT A FAN","FUCKITBEHYPHY"
"","erudhio1127"
"Behind you :p","simpLybLack72"
"","nataliachild"
"","techtraveler"
"","sapsecurityjobs"
"hiding under the bed","fluxusftw"
"Anywhere where The CASH at","itsALLboutME"
"","HausOfLabRat"
"","clint2view"
"","GolfRightNow"
"","Ehrc69Her"
"","OzarkGeoGeek"
"Tschernobyl25.de","reneleonhardt"
"The wrong end of Abbey Road","grapeescape"
"","vermamonisha"
"creamin  on YO bitch","istrappdYObitch"
"Basking in the Limelight","badbittyyy"
"","ChantellaBella7"
"ÜT:  6.280594,106.792925","Benigebleg"
"","kupleabizzx"
"","allycondie"
"ÜT:  7.967901,112.660737","LiyanHAD"
"Where ever u are","Vincentadrian"
"","TwiningsTeaUK"
"Nusa Indah F**king Noise","burahman"
"","MsZondi"
"","l0veVabLEmp"
"","harishkatragadd"
"none of your freakin bees wax","apinun"
"","R3nZ487"
"With Cody Simpson (;","BeliebinCodyS"
"","SaraRegan"
"","elsmtcom"
"","AlexisBieber3d"
"Somewhere, Norway.","rndstrofchars"
"","ESHBAYYYBE"
"Wit Muh clip on Muh hip","ThugDoutLmarie"
"Deep in them Pockets!","Themspriss79"
"","Kahtrina"
"","VickeyMouseOi"
"Milky Way Galaxy","Liisakp"
"","HubVideo"
"Locd up!","LocXurious"
"","AlwaysNTrouble"
"WORLD IN MY HEAD","68ANDIOU1"
"ÜT:  6.894399,107.599015","santifitriati"
"Rapunzel s Tower","CrunchieApple"
" í   rvíll","JBieberTeamPH"
"Inbtw ur .......","lutosin"
"","ahmeddie"
"","JaplesCO"
"","debmoosky"
"Somewhere u AREN T!!","iHateClones"
"","TewaWeLoveU"
"Bsider","idjebba"
"","Bamagurl721"
"","tiaayers"
"","Kriskxx"
"","cumwitbrii"
"","payton179"
"En su Asiento Trasero","McKenzieDee"
"Follow the Music","iScream4Indie"
"","loveprodigy"
"","AyYoJo"
"","shhirls"
"Lost in my thoughts...","JamalFrederick"
"outchaaa","ePIFFhany"
"","rizkurn"
"my laptop","moneytwitting"
"","jovanpahlawan"
"","jclevoleger"
"ÜT:  6.239218,106.890238","ellajaesutaka"
"","lophqtty"
"","Sarah2232"
"Band rma","serhatozer"
"","Kittenspet"
"","meggitt95"
"","supermanGF"
"MyOwnLittleWorld:)","AmyNDubzUltraNy"
"","IZZIEBEAR"
"","sisleybee"
"crib de la jonas","xoJonasHeartsxo"
"","Arlynnee"
"","phuongtoolovely"
"","JohnNavi2"
"","natalie1719"
"","caffeineweenie"
"glasgow:D","amyjbtw"
"","nowmov"
"","videoseyret"
"A BOAT PLANE OR ISLAND! STYLIN","RAGINERA"
"","xilsee"
"","wireclaydavis"
" 27.920492,153.335226","collypops"
"I am EVERYWHERE!!!! : )","JasraelDesigns"
"northsiddyy.","nivaarubabyy"
"","nikitaetmode"
"FROM QUEENS TO URANUS","misseznattie"
"","Fuckuwant"
"","wurkinprogress"
"If U Dont Know Yet Focus Up!!","iTzCzO"
"","Ceestar928"
"","RomanticFlux"
"Wherever the Party Is","CoolP42"
"","mikenelson55"
"The Gunshine State","DhillLaflare"
"Tryna Save The Day.","ItsDannyLou"
"","stockbuyingtips"
"Out of context.","lolapop86"
"ÜT:  6.204935,106.852947","hjenggo"
"","abbybabyness"
"ÜT:  6.173875,106.784675","ikhahyun"
"In soul and beautiful melody","desyntlina"
"Illimité International","Illimite"
"SABMiller   Soft Drinks Div","meteishja"
"","BriHope12497"
"","CNNshowbiz"
"","davidXXXO"
"Not from London, y know","Withnailizer"
"+ 43.7952°,   79.3509°","UchihaCM"
"","jennybehm"
"Liam s contact list ;]","HarryStylesFaan"
"EVERYWHERE LOVE","QueenCoCoBella"
"Somewhere living my life!","TEAMTierra"
"Where thee wild things are","TaylordMufaa"
"Teyona s inner thoughts.","TRoxks"
"","breymasterson"
"Ahead Of You Fool!","WhosJeff"
"","vloop"
"","Cjerome0831"
"Houstatlantavegas","KdotBest"
"","thaitvnews"
"","TierraMonroe"
"","AndrewMoore92"
"Killa Cali ;)","AlyssaMariee"
"","zaabjuda"
"Stalking your mum.","Wendy8Yeung"
